HouseholdID	CountryID	MPAID	SettlementID	InterviewYear	YearsResident	TimeMarket	PaternalEthnicity	Religion	PrimaryLivelihood	SecondaryLivelihood	TertiaryLivelihood	FreqFish	FreqSaleFish	PercentIncomeFish	FreqEatFish	PercentProteinFish	MajorFishTechnique	EconomicStatusTrend	EconomicStatusReason	EconomicStatusReasonEnglish	AssetCar	AssetTruck	AssetCarTruck	AssetBicycle	AssetMotorcycle	AssetBoatNoMotor	AssetBoatOutboard	AssetBoatInboard	AssetLandlinePhone	AssetCellPhone	AssetPhoneCombined	AssetTV	AssetRadio	AssetStereo	AssetCD	AssetDVD	AssetEntertain	AssetSatellite	AssetGenerator	CookingFuel	HouseholdDeath	HouseholdBirth	FSNotEnough	FSDidNotLast	FSBalancedDiet	FSAdultSkip	FSFreqAdultSkip	FSEatLess	FSHungry	FSChildPortion	FSLowCostFood	FSChildSkip	FSFreqChildSkip	FSNoMealChild	RightsAccess	RightsHarvest	RightsManage	RightsExclude	RightsTransfer	SocialConflict	MarineGroup	NumberMarineGroup	OtherGroup	NumberOtherGroup	VoteDistrict	VoteNational	NumLocalThreat	NumGlobalThreat	NumLocalAction	NumGlobalAction	PlaceHappy	PlaceFavourite	PlaceMiss	PlaceBest	PlaceFishHere	PlaceBeMyself
11	360	1	1	2010	25	993	LAGANYA	2	2	3	1	993	5	1	1	5	1	4	Tambahan dana dari pemerintah kepada masyarakat		993	993	0	0	0	5	5	0	993	993	0	2	993	993	993	993	5	1	1	3	0	0	3	3	2	1	3	0	0	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	2	2	3	3	5	5	4	5	5	5
12	360	1	1	2010	62	993	LAGANYA	2	3	2	996	993	5	2	1	5	1	3	999		993	993	0	0	0	3	4	0	993	993	0	1	993	993	993	993	3	0	0	3	0	0	2	2	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	3	0		0		1	1	1	1	1	1	5	5	5	5	5	5
13	360	1	1	2010	20	993	MAYA	2	7	3	998	993	3	2	1	4	1	5	Harga Udang dan teripang naik/mahal		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	5	0	1	3	0	0	2	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	3	1		1		1	1	2	2	1	2	5	5	5	5	5	5
14	360	1	1	2010	7	993	MAYA	2	3	998	998	993	5	998	1	5	1	5	Penghasilan bertambah dan biaya hidup tidak mengalami peningkatan		993	993	0	0	0	2	1	2	993	993	0	0	993	993	993	993	0	0	0	3	0	0	3	3	3	1	2	0	0	0	993	993	993	993	1	1	1	1	0	0	1		0		1	1	1	2	2	2	5	5	5	5	5	5
15	360	1	1	2010	997	993	MAYA	2	3	1	998	993	2	2	1	4	1	5	Penghasilan meningkat karena harga udang dan teripang tinggi		993	993	0	0	0	1	1	1	993	993	0	1	993	993	993	993	5	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	0	0	5	1		1		1	1	3	3	1	0	5	5	5	5	5	5
16	360	1	1	2010	20	993	MAYA	2	2	3	998	993	3	2	1	4	1	5	"Karena mendapat bantuan dari pemerintah (beras 10 krg/KK, dan uang 4 juta/KK)"		993	993	0	0	0	1	2	0	993	993	0	0	993	993	993	993	2	0	1	3	0	0	2	3	3	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	1	0	2	2	5	5	5	5	5	5
17	360	1	1	2010	21	993	MAYA	2	3	7	1	993	1	1	2	4	1	4	Penghasilan meningkat karena harga udang dan teripang tinggi		993	993	0	0	0	1	3	0	993	993	1	1	993	993	993	993	4	1	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	3	3	0	0	5	5	5	5	5	5
18	360	1	1	2010	10	993	MAYA	2	3	7	998	993	1	1	1	4	1	5	Penghasilan meningkat karena harga udang dan teripang tinggi		993	993	0	0	0	2	1	0	993	993	0	1	993	993	993	993	3	0	1	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	3	0		1		1	1	0	0	0	0	5	5	5	5	5	5
19	360	1	4	2010	29	993	MAYA	1	2	3	996	993	3	2	1	4	1	2	Karena Hasil tidak memuaskan dan penghasilan tidak tetap		993	993	0	0	0	1	1	0	993	993	0	0	993	993	993	993	1	0	0	3	0	1	3	3	3	0	998	0	0	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	3	3	2	2	5	5	3	5	5	5
20	360	1	4	2010	60	993	MAYA	1	2	1	3	993	5	1	2	4	1	3	Karena tempat pemasaran hasil kebun dan sagu jauh dari kampung.		993	993	0	0	0	2	1	0	993	993	0	0	993	993	993	993	2	0	1	3	0	0	2	3	2	1	3	1	0	0	993	993	993	993	1	1	1	1	0	3	0		1		1	1	3	3	1	1	5	5	5	5	5	5
21	360	1	4	2010	14	993	BIAK	1	2	3	7	993	996	1	1	4	1	3	Karena hasil tergantung alam dan tidak terlalu banyak		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	4	1	1	3	1	0	3	3	3	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	1		1		1	1	4	4	2	2	5	5	5	5	5	5
22	360	1	4	2010	23	993	MAYA	1	2	3	1	993	3	3	2	3	1	2	Penghasilan tidak tetap dan responden tidak mencari secara rutin.		993	993	0	0	0	1	1	0	993	993	0	0	993	993	993	993	0	0	0	3	1	1	2	2	2	1	3	0	0	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	4	3	2	2	5	5	5	5	5	5
23	360	1	4	2010	2	993	MAYA	1	2	3	1	993	1	1	2	3	1	3	Penghasilan kadang naik dan kadang turun 		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	4	0	1	3	0	0	2	2	2	1	3	0	0	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	2	2	1	0	5	5	5	5	5	5
24	360	1	4	2010	58	993	MAYA	1	2	1	3	993	3	2	2	5	1	2	"Karena tenaga untuk bekerja mulai menurun, tempat jual hasil kebun dan laut jauh dari kampung sehingga membutuhkan BBM yang cukup banyak. "		993	993	0	0	0	1	2	1	993	993	0	0	993	993	993	993	0	0	0	3	1	0	2	2	2	0	998	1	0	1	993	993	993	993	1	1	0	0	0	5	0		1		1	1	1	1	2	1	3	3	4	4	4	5
25	360	1	2	2010	51	993	MAYA	2	7	3	1	993	3	2	1	2	1	5	Tambahan penghasilan dari membuat perahu		993	993	0	0	0	2	2	0	993	993	1	1	993	993	993	993	5	1	2	3	0	0	1	3	3	0	998	0	0	0	993	993	993	993	1	1	1	1	0	998	0		0		1	1	3	3	1	1	5	5	5	5	5	5
26	360	1	2	2010	51	993	TERNATE	2	3	1	998	993	3	2	2	5	1	3	"Penghasilan tidak tetap, penghasilan hanya dari melaut"		993	993	0	0	0	2	2	0	993	993	0	1	993	993	993	993	0	0	0	3	0	0	1	1	2	1	2	0	0	0	993	993	993	993	1	1	0	0	0	998	0		0		1	1	0	0	0	0	5	5	5	5	5	5
27	360	1	2	2010	49	993	TERNATE	2	1	3	998	993	2	3	2	3	1	3	Sudah tua untuk pergi melaut		993	993	0	0	0	1	0	0	993	993	0	0	993	993	993	993	1	0	0	3	0	0	1	2	2	0	998	1	1	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	0	0	0	0	5	5	5	5	5	5
28	360	1	2	2010	997	993	DAAM-MAYA	2	3	1	998	993	2	5	2	2	1	3	kesehatan tidak mendukung untuk bekerja		993	993	0	0	0	2	1	0	993	993	0	1	993	993	993	993	1	0	0	3	0	0	1	2	2	1	2	1	0	1	993	993	993	993	1	1	0	0	0	2	0		0		1	1	2	2	1	1	5	5	5	5	5	5
29	360	1	2	2010	20	993	INANWATAN	2	3	1	998	993	2	5	2	5	1	1	Pendapata lebih kecil dari pada pengeluaran karena harga BBM naik dan juga kebutuhan pokok harga meningkat		993	993	0	0	0	1	1	0	993	993	1	1	993	993	993	993	4	1	0	3	0	0	2	2	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	3	3	1	1	5	5	5	4	5	4
30	360	1	2	2010	4	993	GEBE	2	1	3	7	993	2	2	2	4	1	5	Pendapatn meningkat karena ada penghasilan dari pekerjaan servis genset dan hasil penjualan pertanian		993	993	0	0	0	1	1	0	993	993	1	0	993	993	993	993	3	0	2	3	0	1	2	3	3	0	998	0	0	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	4	4	2	2	4	4	4	4	5	5
31	360	1	4	2010	997	993	MAYA	1	2	1	3	993	3	2	1	5	1	4	Karena hasil sagu yang dijual meningkat dibandingkan tahun sebelumnya		993	993	0	0	0	1	3	0	993	993	0	1	993	993	993	993	5	0	1	3	0	0	2	2	2	1	2	1	0	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	2	2	1	1	5	5	5	5	5	5
32	360	1	4	2010	997	993	MAYA	1	2	1	3	993	5	1	1	5	1	3	997		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	1	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	1	1	1	1	5	5	5	5	5	5
33	360	1	4	2010	45	993	MAYA	1	2	3	1	993	5	1	2	5	1	3	Karena pengaturan ekonomi rumah tangga 		993	993	0	0	0	5	3	0	993	993	0	1	993	993	993	993	2	0	1	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	3	0		1		1	1	3	3	1	0	5	5	5	5	4	5
34	360	1	4	2010	38	993	MAYA	1	2	996	3	993	3	2	1	5	1	3	"Karena responden akan kembali untuk menokok ketika responden membutuhkan uang, sehingga kegiatan menokok sagu disesuaikan dengan kebutuhan."		993	993	0	0	0	2	1	0	993	993	0	1	993	993	993	993	4	0	1	3	0	1	3	3	2	1	3	0	0	0	993	993	993	993	1	1	1	1	0	5	1		1		1	1	5	5	2	2	5	5	4	5	5	5
35	360	1	4	2010	50	993	MAYA	1	2	3	1	993	5	1	2	4	1	3	Karena tidak ada penghasilan dari hasil laut. 		993	993	0	0	0	1	1	0	993	993	0	0	993	993	993	993	1	0	0	3	0	0	2	2	2	1	1	1	1	1	993	993	993	993	1	1	0	0	0	5	0		1		1	1	1	1	1	1	5	5	5	5	5	5
36	360	1	4	2010	40	993	MAYA	1	2	3	997	993	997	1	2	3	1	3	997		993	993	0	0	0	2	1	0	993	993	0	0	993	993	993	993	0	0	0	3	1	0	2	2	2	1	3	1	0	1	993	993	993	993	1	1	0	0	0	3	0		0		1	1	1	0	0	0	4	4	5	5	5	5
37	360	1	8	2010	3	993	MAYA	1	2	3	1	993	3	2	2	5	1	4	Mempunyai hubungan dengan orang lain yang baik dan juga mempunyai banyak jenis mata pencarian		993	993	0	0	0	1	1	0	993	993	0	0	993	993	993	993	5	0	0	3	0	1	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	2	2	1	1	5	5	5	5	5	5
38	360	1	8	2010	22	993	MAYA	1	2	3	2	993	4	3	1	4	1	3	Uang digunakan untuk biaya pendidikan anak (kebutuhan Sekolah)		993	993	0	0	0	2	0	0	993	993	0	1	993	993	993	993	0	0	0	3	1	1	3	3	2	1	3	1	0	1	993	993	993	993	1	1	1	1	0	5	0		1		1	1	3	3	2	2	5	5	5	5	5	5
39	360	1	8	2010	41	993	MAYA	1	2	3	1	993	3	3	2	5	1	3	Pengelolaan Keluarga yg baik		993	993	0	0	0	1	0	0	993	993	0	0	993	993	993	993	3	0	0	3	0	1	2	2	2	1	3	1	1	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	2	2		1	5	5	5	5	5	5
40	360	1	8	2010	42	993	MAYA	1	2	3	1	993	5	1	2	5	1	3	Kurang Melaut		993	993	0	0	0	2	0	0	993	993	0	0	993	993	993	993	3	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	3	1		1		1	1	4	3		1	5	5	5	5	5	4
41	360	1	8	2010	1	993	BIAK	1	996	3	997	993	5	1	2	2	1	3	Berkat dari ikan melimpah		993	993	0	0	0	0	0	0	993	993	1	0	993	993	993	993	1	0	0	2	0	0	2	2	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	997	0		0		1	1	1	2		1	3	3	4	3	3	4
42	360	1	8	2010	38	993	MAYA	1	2	3	2	993	5	1	2	5	1	3	Tidak ada penambahan maupun  penurunan penghasilan		993	993	0	0	0	1	0	0	993	993	0	0	993	993	993	993	3	0	0	3	0	1	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	5	0		0		1	1	4	3		1	5	5	5	5	5	5
43	360	1	2	2010	9	993	KENDARI	2	7	3	1	993	998	2	1	5	1	4	Ada bantuan dari pemerintah seperti Raskin		993	993	0	0	0	1	0	0	993	993	1	1	993	993	993	993	1	1	0	3	0	0	2	2	3	0	998	0	0	0	993	993	993	993	1	1	1	0	0	5	1		1		1	1	2	4	2	2	4	4	5	5	4	5
44	360	1	2	2010	997	993	MAYA	2	3	1	2	993	2	4	2	5	1	3	"Penghasilan tidak Menentu
pengeluaran lebih banyak dari pendapatan"		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	4	0	0	3	0	1	1	1	2	1	1	1	0	1	993	993	993	993	1	1	1	1	0	5	0		1		1	1	4	4	1	1	5	5	5	5	5	5
45	360	1	2	2010	40	993	KAWE	2	3	1	998	993	998	1	2	4	1	3	Penghasilan tidak tetap		993	993	0	0	0	1	0	0	993	993	0	0	993	993	993	993	0	0	0	3	0	1	2	2	2	1	2	1	0	0	993	993	993	993	1	1	1	1	0	3	0		0		1	1	4	4	3	3	5	5	5	5	5	5
46	360	1	2	2010	30	993	BANIMO-HALMAHERA	2	3	998	998	993	3	5	1	4	1	2	Tergantung hasil saat ini dan hasil dari udang dan ikan		993	993	0	0	0	1	0	0	993	993	0	1	993	993	993	993	1	0	0	3	0	0	2	2	2	1	2	1	0	1	993	993	993	993	1	1	1	1	0	5	0		1		1	1	6	2	3	1	5	5	5	5	5	5
47	360	1	2	2010	47	993	MAYA	2	3	1	7	993	3	4	3	4	1	3	Belum punya penghasilan tetap dan hanya mengandalkan hasil laut		993	993	0	0	0	2	2	1	993	993	0	0	993	993	993	993	0	0	1	3	0	0	2	2	3	1	2	1	0	0	993	993	993	993	1	1	1	1	0	5	0		0		1	1	4	4	2	2	5	5	5	5	5	5
48	360	1	2	2010	28	993	HALMAHERA-MAYA	2	3	996	998	993	2	4	1	4	1	3	Tergantung dari hasil laut		993	993	0	0	0	1	1	0	993	993	1	1	993	993	993	993	3	0	0	3	0	0	2	2	2	1	2	1	1	0	993	993	993	993	1	1	1	1	0	5	1		1		1	1	4	4	1	1	5	5	5	5	5	5
49	360	1	2	2010	31	993	TERNATE	2	3	1	998	993	2	5	1	5	1	3	"Peghasilan tidak tetap karena hanya mencari sendiri, Suami sudah tidak ada (meniggal)"		993	993	0	0	0	1	1	0	993	993	0	0	993	993	993	993	1	0	0	3	0	0	2	2	3	1	3	1	0	0	993	993	993	993	1	1	0	0	0	3	0		1		1	1	2	2	1	1	5	5	5	5	5	5
50	360	1	2	2010	3	993	MALUKU-MANIPA	2	3	5	1	993	3	4	2	5	1	2	Pendapatan keluarga dari hasil pencarian (melaut) Berkurang.		993	993	0	0	0	0	1	0	993	993	0	0	993	993	993	993	1	0	0	3	0	0	2	2	1	1	3	1	1	1	993	993	993	993	1	1	0	0	0	997	0		0		1	1	2	2	0	0	3	3	4	5	5	5
51	360	1	2	2010	35	993	MAYA	2	3	1	998	993	2	4	1	5	1	2	Perahu Menagkap ikan & udang tidak ada sehingga pendapatan menurun.		993	993	0	0	0	0	1	0	993	993	0	1	993	993	993	993	4	1	1	3	0	0	2	1	2	1	1	1	0	0	993	993	993	993	1	1	0	0	0	5	0		1		1	1	3	3	1	1	5	5	4	5	5	5
52	360	1	2	2010	11	993	BIAK	2	7	3	998	993	2	2	999	5	1	4	Pogram Raskin (Beras unutk masyarakat mikin) yang iberikan pemerintah memberikan manfaat ekonomi buat keluarga sehingga pengluaran untuk beras tidak ada		993	993	0	0	0	1	1	0	993	993	1	1	993	993	993	993	2	1	1	3	0	0	2	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	3	0		1		1	1	1	0	1	1	5	5	4	5	5	5
53	360	1	2	2010	998	993	MAYA	2	3	1	998	993	2	4	2	5	1	3	998		993	993	0	0	0	0	0	0	993	993	0	0	993	993	993	993	1	0	0	3	0	0	3	3	2	1	2	1	0	0	993	993	993	993	1	1	1	1	0	997	1		0		1	1	2	0	1	0	5	5	5	5	5	5
54	360	1	2	2010	42	993	MAYA	2	3	1	998	993	2	4	2	5	2	4	998		993	993	0	0	0	3	1	0	993	993	0	1	993	993	993	993	1	0	1	3	0	0	2	2	2	1	2	1	0	0	993	993	993	993	1	1	0	1	0	5	1		1		1	1	3	3	2	1	5	5	5	5	5	5
55	360	1	2	2010	39	993	MAYA	2	3	1	998	993	2	5	1	5	1	4	Mendapat bantuan dari pemerintah ( perumahan dan Raskin)		993	993	0	0	0	1	1	0	993	993	0	0	993	993	993	993	1	0	0	3	0	0	1	1	2	0	998	1	0	0	993	993	993	993	1	1	1	0	0	5	0		0		1	1	5	4	1	0	5	5	5	5	5	5
56	360	1	2	2010	2	993	MAYA	2	3	1	998	993	1	4	1	4	1	3	penghasilan tidak tetap		993	993	0	0	0	1	1	0	993	993	1	0	993	993	993	993	0	0	0	3	0	0	3	3	3	1	2	1	1	1	993	993	993	993	0	0	0	0	1	5	0		1		1	1	2	2	2	2	5	5	4	4	3	5
57	360	1	3	2010	30	993	AMBEL-MAYA	1	2	3	1	993	2	3	1	4	1	4	Tidak ada halangan (tidak sakit) dalam melakukan usaha sehari-hari		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	3	0	1	3	0	0	2	2	3	1	3	1	1	1	993	993	993	993	1	1	1	1	0	5	0		1		1	1	2	2	1	1	5	5	5	5	5	5
58	360	1	3	2010	46	993	AMBEL-MAYA	1	2	1	3	993	3	2	1	4	1	3	Penghasilan tidak beruba dan cukup untuk kebutuhan hari-hari 		993	993	0	0	0	1	0	0	993	993	0	0	993	993	993	993	0	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	2	0		1		1	1	3	0	2	2	5	5	5	5	5	5
59	360	1	3	2010	41	993	AMBEL-MAYA	1	2	3	1	993	4	2	2	4	1	3	Hasil yang diperoleh tidak lancar karena tergantung hasil laut yang ditangkap		993	993	0	0	0	1	0	0	993	993	0	1	993	993	993	993	3	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	0		1		1	1	3	2	2	0	4	4	5	5	5	5
60	360	1	3	2010	3	993	AMBEL-MAYA	1	3	2	1	993	5	1	2	4	1	2	"Banyak uang yang dikeluarkan untuk membayar maskawin,anak sakit, dan biayai pemakaman "		993	993	0	0	0	1	2	0	993	993	0	0	993	993	993	993	0	0	0	3	1	1	3	3	2	1	3	0	0	0	993	993	993	993	1	1	0	0	0	3	1		998		1	1	4	4	1	1	4	4	5	5	2	4
61	360	1	3	2010	48	993	AMBEL-MAYA	1	2	1	3	993	5	1	2	4	1	4	karena ada peningkatan pendapatan dari usaha tokok sagu dan sensor kayu		993	993	0	0	0	1	3	0	993	993	1	1	993	993	993	993	3	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	5	1		1		1	1	3	2	1	1	4	5	5	5	5	5
62	360	1	3	2010	62	993	AMBEL-MAYA	1	2	3	998	993	2	2	2	4	1	3	Krena faktor usia sehingga tidak bisah berusaha lebih baik lagi. 		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	4	0	1	3	0	0	2	2	3	1	3	0	0	0	993	993	993	993	1	1	1	1	0	5	1		1		1	1	0	0	0	0	5	5	5	5	5	5
63	360	1	3	2010	8	993	AMBEL-MAYA	1	7	2	1	993	998	998	998	998	998	3	"Karena tinggal sendiri dan faktor usia yang semakin tua, jadi tanggungan dalam rendah "		993	993	0	0	0	1	0	0	993	993	0	0	993	993	993	993	0	0	0	3	0	0	2	3	2	1	3	1	1	0	993	993	993	993	1	0	1	1	0	5	0		0		1	1	1	1	0	0	5	5	5	5	5	5
64	360	1	3	2010	6	993	AMBEL-MAYA	1	2	3	1	993	5	1	2	4	1	4	Karena pendapatan dari hasil teripang di tahun ini lebih banyak dari tahun sebelumnya 		993	993	0	0	0	1	2	0	993	993	0	0	993	993	993	993	0	1	1	3	0	1	3	2	2	1	3	0	0	0	993	993	993	993	1	1	1	0	0	5	1		1		1	1	3	3	1	1	5	5	5	5	5	5
65	360	1	3	2010	24	993	AMBEL-MAYA	1	2	1	3	993	5	1	2	5	1	4	karena ada perhatian pemerintah melalui bantuan-bantuan (RASKIN rumah sosial dll)		993	993	0	0	0	1	5	0	993	993	0	0	993	993	993	993	3	0	0	3	0	1	3	3	2	0	998	0	0	0	993	993	993	993	1	1	0	0	0	1	0		1		1	1	1	3	1	1	5	5	5	5	5	5
66	360	1	3	2010	13	993	AMBEL-MAYA	1	2	3	1	993	5	1	2	4	1	4	karena Hsil pendapatan dari tokok sagu dan berkebun semakin meningkat		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	2	0	0	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	0	0	5	1		1		1	1	1	0	2	0	5	5	5	5	5	5
67	360	1	3	2010	2	993	AMBEL-MAYA	1	1	7	997	993	998	998	998	998	998	3	"karena hanya bergantung pada gaji dari istrinya yang sebagai guru honor SD,sehingga tidak ada tambahan pendapatan "		993	993	0	0	0	0	0	0	993	993	1	0	993	993	993	993	2	0	0	3	0	0	2	2	2	0	998	0	0	0	993	993	993	993	1	1	1	0	0	5	0		1		1	1	5	4	2	2	4	4	5	3	997	5
68	360	1	3	2010	10	993	AMBEL-MAYA	1	2	1	3	993	2	3	1	5	1	3	Pendapatan yang diperoleh tidak berubah		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	3	0	1	3	0	0	3	3	3	0	998	0	0	0	993	993	993	993	1	1	1	1	0	3	0		1		1	1	4	4	1	1	5	5	5	5	5	5
69	360	1	3	2010	33	993	AMBEL-MAYA	1	3	2	2	993	3	3	2	3	1	4	Karena pendapatan yang diperoleh suda cukup untuk memenuhi kebutuhan keluarga		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	8	0	1	3	0	0	3	3	2	0	998	0	0	0	993	993	993	993	1	1	1	1	0	3	0		1		1	1	2	2	1	1	5	5	5	5	5	5
70	360	1	3	2010	30	993	AMBEL-MAYA	1	2	2	3	993	5	1	1	5	1	2	Karena pendapatan dari mata pencaharian mulai menurun		993	993	0	0	0	1	1	0	993	993	0	1	993	993	993	993	4	0	0	3	0	0	2	2	2	0	998	1	0	0	993	993	993	993	1	1	0	0	0	1	0		1		1	1	1	1	1	1	5	5	4	5	5	5
